日期,最高气温
2011-12-20,2
2011-12-21,2
2011-12-22,2
2011-12-23,3
2011-12-24,3
2011-12-25,4
2011-12-26,2
2011-12-27,3
2011-12-28,5
2011-12-29,-2
2011-12-30,1
2011-12-31,4
2012-01-01,1
2012-01-02,2
2012-01-03,1
2012-01-04,1
2012-01-05,2
2012-01-06,0
2012-01-07,-1
2012-01-08,2
2012-01-09,2
2012-01-10,3
2012-01-11,2
2012-01-12,3
2012-01-13,4
2012-01-14,4
2012-01-15,3
2012-01-16,2
2012-01-17,2
2012-01-18,2
2012-01-19,0
2012-01-20,-1
2012-01-21,-3
2012-01-22,-4
2012-01-23,-1
2012-01-24,0
2012-01-25,1
2012-01-26,2
2012-01-27,2
2012-01-28,-1
2012-01-29,-1
2012-01-30,-2
2012-01-31,0
2012-02-01,-3
2012-02-02,-1
2012-02-03,2
2012-02-04,3
2012-02-05,3
2012-02-06,-3
2012-02-07,-1
2012-02-08,2
2012-02-09,4
2012-02-10,3
2012-02-11,5
2012-02-12,5
2012-02-13,5
2012-02-14,4
2012-02-15,4
2012-02-16,2
2012-02-17,2
2012-02-18,4
2012-02-19,6
2012-02-20,8
2012-02-21,5
2012-02-22,7
2012-02-23,5
2012-02-24,5
2012-02-25,4
2012-02-26,6
2012-02-27,7
2012-02-28,6
2012-02-29,8
2012-03-01,3
2012-03-02,5
2012-03-03,4
2012-03-04,5
2012-03-05,5
2012-03-06,10
2012-03-07,10
2012-03-08,6
2012-03-09,6
2012-03-10,6
2012-03-11,6
2012-03-12,9
2012-03-13,13
2012-03-14,13
2012-03-15,10
2012-03-16,14
2012-03-17,12
2012-03-18,6
2012-03-19,7
2012-03-20,12
2012-03-21,12
2012-03-22,7
2012-03-23,12
2012-03-24,14
2012-03-25,15
2012-03-26,15
2012-03-27,20
2012-03-28,20
2012-03-29,19
2012-03-30,13
2012-03-31,17
2012-04-01,12
2012-04-02,11
2012-04-03,18
2012-04-04,19
2012-04-05,17
2012-04-06,20
2012-04-07,24
2012-04-08,22
2012-04-09,25
2012-04-10,20
2012-04-11,20
2012-04-12,23
2012-04-13,26
2012-04-14,28
2012-04-15,27
2012-04-16,23
2012-04-17,28
2012-04-18,24
2012-04-19,22
2012-04-20,23
2012-04-21,18
2012-04-22,19
2012-04-23,25
2012-04-24,19
2012-04-25,21
2012-04-26,24
2012-04-27,23
2012-04-28,22
2012-04-29,21
2012-04-30,24
2012-05-01,22
2012-05-02,30
2012-05-03,31
2012-05-04,32
2012-05-05,31
2012-05-06,31
2012-05-07,25
2012-05-08,30
2012-05-09,29
2012-05-10,30
2012-05-11,23
2012-05-12,25
2012-05-13,26
2012-05-14,25
2012-05-15,27
2012-05-16,27
2012-05-17,30
2012-05-18,32
2012-05-19,30
2012-05-20,27
2012-05-21,28
2012-05-22,27
2012-05-23,28
2012-05-24,29
2012-05-25,28
2012-05-26,33
2012-05-27,34
2012-05-28,33
2012-05-29,27
2012-05-30,27
2012-05-31,27
2012-06-01,24
2012-06-02,28
2012-06-03,25
2012-06-04,32
2012-06-05,32
2012-06-06,31
2012-06-07,32
2012-06-08,33
2012-06-09,32
2012-06-10,29
2012-06-11,32
2012-06-12,29
2012-06-13,26
2012-06-14,27
2012-06-15,29
2012-06-16,34
2012-06-17,38
2012-06-18,37
2012-06-19,33
2012-06-20,32
2012-06-21,32
2012-06-22,31
2012-06-23,30
2012-06-24,26
2012-06-25,28
2012-06-26,26
2012-06-27,27
2012-06-28,25
2012-06-29,26
2012-06-30,33
2012-07-01,35
2012-07-02,35
2012-07-03,35
2012-07-04,30
2012-07-05,31
2012-07-06,32
2012-07-07,28
2012-07-08,30
2012-07-09,30
2012-07-10,31
2012-07-11,34
2012-07-12,32
2012-07-13,30
2012-07-14,31
2012-07-15,33
2012-07-16,34
2012-07-17,34
2012-07-18,32
2012-07-19,32
2012-07-20,33
2012-07-21,30
2012-07-22,33
2012-07-23,33
2012-07-24,30
2012-07-25,29
2012-07-26,28
2012-07-27,28
2012-07-28,27
2012-07-29,34
2012-07-30,31
2012-07-31,25
2012-08-01,24
2012-08-02,29
2012-08-03,28
2012-08-04,32
2012-08-05,31
2012-08-06,32
2012-08-07,32
2012-08-08,29
2012-08-09,34
2012-08-10,33
2012-08-11,29
2012-08-12,28
2012-08-13,30
2012-08-14,27
2012-08-15,31
2012-08-16,31
2012-08-17,29
2012-08-18,28
2012-08-19,31
2012-08-20,30
2012-08-21,29
2012-08-22,28
2012-08-23,30
2012-08-24,29
2012-08-25,30
2012-08-26,29
2012-08-27,27
2012-08-28,33
2012-08-29,34
2012-08-30,34
2012-08-31,31
2012-09-01,29
2012-09-02,26
2012-09-03,26
2012-09-04,26
2012-09-05,27
2012-09-06,24
2012-09-07,25
2012-09-08,27
2012-09-09,29
2012-09-10,27
2012-09-11,25
2012-09-12,24
2012-09-13,24
2012-09-14,25
2012-09-15,26
2012-09-16,27
2012-09-17,28
2012-09-18,29
2012-09-19,28
2012-09-20,29
2012-09-21,25
2012-09-22,26
2012-09-23,28
2012-09-24,26
2012-09-25,22
2012-09-26,26
2012-09-27,23
2012-09-28,22
2012-09-29,25
2012-09-30,25
2012-10-01,27
2012-10-02,25
2012-10-03,26
2012-10-04,24
2012-10-05,24
2012-10-06,25
2012-10-07,25
2012-10-08,25
2012-10-09,23
2012-10-10,22
2012-10-11,22
2012-10-12,24
2012-10-13,20
2012-10-14,18
2012-10-15,17
2012-10-16,17
2012-10-17,18
2012-10-18,20
2012-10-19,20
2012-10-20,21
2012-10-21,14
2012-10-22,18
2012-10-23,21
2012-10-24,22
2012-10-25,21
2012-10-26,18
2012-10-27,23
2012-10-28,17
2012-10-29,15
2012-10-30,13
2012-10-31,14
2012-11-01,15
2012-11-02,15
2012-11-03,10
2012-11-04,4
2012-11-05,10
2012-11-06,12
2012-11-07,12
2012-11-08,12
2012-11-09,10
2012-11-10,4
2012-11-11,6
2012-11-12,8
2012-11-13,7
2012-11-14,10
2012-11-15,7
2012-11-16,11
2012-11-17,10
2012-11-18,11
